Model	Path	Dataset	Features Percent	Latency (ms)	Binary Size (MB)	AUUC (test)	Precision@5	Precision@10	Precision@15	Precision@20	Precision@25	Precision@50	Compressions
TModel	exps/lazada/100/0	lazada	100	0.0592814970016479	3.112857	0.5369188746462927	0.0094248269425215	0.0093778947050368	0.0070878360616218	0.0093778947050368	0.006506573065983	0.0040361845412141	{}
TModel	exps/lazada/100/1	lazada	100	0.0561431860923767	25.315657	0.7015547930684425	0.0011972119609755	0.0083093073221542	0.0084843133880292	0.0083093073221542	0.0071622651316021	0.0059200719501591	{}
TModel	exps/lazada/100/2	lazada	100	0.0573608016967773	29.465457	0.6957901465523474	0.0097935781319353	0.0106864097919507	0.0089199827714373	0.0106864097919507	0.0097599428256009	0.0054639364589969	{}
TModel	exps/lazada/100/3	lazada	100	0.0579640913009643	4.878569	0.6565786711883569	0.0113544371148217	0.0106851668923271	0.0097324742943002	0.0106851668923271	0.0081343228236355	0.0058601492885176	{}
TModel	exps/lazada/100/4	lazada	100	0.0561083817481994	0.1508	0.4786590784318923	0.0168903770156816	0.0093857191810684	0.0076131475566506	0.0093857191810684	0.005876161733749	0.0036015914295195	{}
TModel	exps/lazada/100/5	lazada	100	0.0572897005081176	19.446937	0.5716442020453346	-0.0041500241274824	0.0077739251469604	0.0060158530866501	0.0077739251469604	0.0055966308345914	0.004508971210268	{}
TModel	exps/lazada/100/6	lazada	100	0.0583088517189025	17.388096	0.44940282328205	0.0109035104847999	0.0052536399004686	0.0034744312436455	0.0052536399004686	0.0041864984327527	0.0040405035654981	{}
TModel	exps/lazada/100/7	lazada	100	0.0554915332794189	1.324496	0.6219969775517035	0.0111582623196981	0.0084952106667035	0.008290843290071	0.0084952106667035	0.0081073637987354	0.0052212655330669	{}
TModel	exps/lazada/100/8	lazada	100	0.0574668717384338	12.526577	0.4915888115089902	-0.0014929438694339	0.0031264460286542	0.0045802761168272	0.0031264460286542	0.0063414522793693	0.0043820907284876	{}
TModel	exps/lazada/100/9	lazada	100	0.05703367233276367	0.84208	0.6852935682763838	0.018461370556713624	0.011392538618520062	0.009930849522541377	0.011392538618520062	0.008307774494167926	0.005581258424363647	{}
